BUS_STOP_N,Name,Comment,BFC marker ID,coords.x1,coords.x2
5199,OPP HONG LIM CPLX,SOUTH BRIDGE ROAD,1139,103.84811,1.28396
5239,BEF PINNACLE @ DUXTON,NEIL ROAD,5418,103.84155,1.2785
5241,OPP BLK 333,KRETA AYER ROAD,1140,103.8423,1.28083
5259,AFT KRETA AYER RD,NEIL ROAD,1141,103.84263,1.2797
5269,MAXWELL RD FC,SOUTH BRIDGE ROAD,1142,103.84468,1.28123
5271,OPP FAIRFIELD METH CH,TANJONG PAGAR ROAD,1143,103.84389,1.27966
5319,OCBC CTR,CHURCH STREET,1144,103.84897,1.28446
5411,TG PAGAR PLAZA,TANJONG PAGAR ROAD,1145,103.84317,1.27517
5419,THE AMARA,TANJONG PAGAR ROAD,1146,103.84321,1.27477
5421,AFT CRAIG RD,TANJONG PAGAR ROAD,1147,103.8436,1.27773
5429,BEF WALLICH ST,TANJONG PAGAR ROAD,1148,103.8436,1.27753
5519,OPP MARITIME HSE,CANTONMENT ROAD,1149,103.84113,1.27553
5521,MARITIME HSE,CANTONMENT ROAD,1150,103.84059,1.27677
5629,OPP STH PT,CANTONMENT ROAD,1151,103.84212,1.27323
5631,BLK 16,CANTONMENT LINK,1152,103.84042,1.27347
5641,CUSTOMS PORT BR HQ,KEPPEL ROAD,1153,103.84129,1.27268
5649,OPP CUSTOMS PORT BR HQ,KEPPEL ROAD,1154,103.84093,1.27239
5651,OPP FUJI XEROX TWRS,TANJONG PAGAR ROAD,1155,103.84333,1.27324
6011,OPP OUTRAM PK STN,OUTRAM ROAD,1158,103.83792,1.2818
6029,OUTRAM PK STN,OUTRAM ROAD,1159,103.83875,1.28168
6031,OPP BLK 13,CHIN SWEE ROAD,6956,103.83879,1.28607
6039,BLK 8,CHIN SWEE ROAD,6957,103.83963,1.28701
6049,ETONHOUSE PRE-SCH,OUTRAM ROAD,1160,103.83515,1.28465
6051,BLK 55,TIONG BAHRU ROAD,1161,103.83406,1.28476
6069,AFT FURAMA RIVERFRONT,OUTRAM ROAD,1162,103.83496,1.28623
6071,BLK 2B,ZION ROAD,1163,103.83365,1.28678
6081,BLK 94,ZION ROAD,1988,103.83309,1.28823
6129,GRAND COPTHORNE HOTEL,KIM SENG ROAD,1164,103.83441,1.29067
6131,THE BOYS' BRIGADE HQ,ZION ROAD,1165,103.83223,1.29152
6141,HOLIDAY INN ATRIUM,HAVELOCK ROAD,1166,103.83434,1.28945
6149,OPP HOLIDAY INN ATRIUM S'PORE,HAVELOCK ROAD,1167,103.83449,1.28972
6151,HOTEL MIRAMAR,HAVELOCK ROAD,1168,103.83733,1.28882
6159,RIVER VIEW HOTEL,HAVELOCK ROAD,1169,103.83695,1.28901
6161,BLK 2,HAVELOCK ROAD,1170,103.8399,1.2889
6169,RIVER PL CONDO,HAVELOCK ROAD,1171,103.83978,1.28922
6171,OPP SUBORDINATE CT,UPPER CROSS STREET,1172,103.84253,1.28645
6189,CTRL SQ,HAVELOCK ROAD,1173,103.84331,1.28773
7011,PEACE CTR,SELEGIE ROAD,1174,103.84981,1.301
7021,SELEGIE CTR,SELEGIE ROAD,1175,103.84996,1.30325
7031,TEKKA CTR,SERANGOON ROAD,1176,103.85121,1.30572
7111,BROADWAY HOTEL,SERANGOON ROAD,1177,103.85318,1.3088
7211,SRI SRINIVASA PERUMAL TP,SERANGOON ROAD,1178,103.8563,1.31297
7221,SRI VADAPATHIRA K TP,SERANGOON ROAD,1179,103.85791,1.31498
7231,BEF TAI HOE HOTEL,KITCHENER ROAD,1180,103.85736,1.30973
7241,UMAR P TAMIL LANG CTR,LAVENDER STREET,1181,103.85901,1.31565
7249,OPP UMAR P TAMIL LANG CTR,LAVENDER STREET,1182,103.85934,1.31549
7319,AFT ALLENBY RD,JALAN BESAR,1183,103.85871,1.31039
7329,HOA NAM BLDG,JALAN BESAR,1184,103.85986,1.31285
7331,AFT KING GEORGE'S AVE,KITCHENER ROAD,1185,103.85891,1.30831
7351,EMINENT PLAZA,LAVENDER STREET,1186,103.86055,1.31352
7359,OPP EMINENT PLAZA,LAVENDER STREET,1187,103.86071,1.31361
7361,BEF KALLANG BAHRU,LAVENDER STREET,1188,103.86191,1.31161
7369,AFT KALLANG BAHRU,LAVENDER STREET,1189,103.86238,1.31141
7371,AFT KALLANG RD,LAVENDER STREET,1190,103.8635,1.30951
7379,BEF KALLANG RD,LAVENDER STREET,1191,103.86338,1.31017
7419,OPP VEERASAMY RD,JALAN BESAR,1192,103.85611,1.30663
7509,SMU,BENCOOLEN STREET,6986,103.84904,1.29734
7517,OPP BURLINGTON SQ,BENCOOLEN STREET,1193,103.85248,1.30145
7518,FORTUNE CTR,BENCOOLEN STREET,1194,103.85211,1.30096
7529,BEF SIM LIM TWR,JALAN BESAR,1195,103.85472,1.30444
7531,AFT SIM LIM SQ,ROCHOR CANAL ROAD,1196,103.85259,1.30369
7539,THE VERGE,SUNGEI ROAD,1197,103.85227,1.30436
7551,FU LU SHOU CPLX,ROCHOR ROAD,1198,103.85464,1.3018
7561,OPP MIDLINK PLAZA,MIDDLE ROAD,1199,103.85292,1.29936
7569,MIDLINK PLAZA,MIDDLE ROAD,1200,103.85292,1.29973
7571,OPP PRIME CTR,MIDDLE ROAD,1201,103.8513,1.30062
7589,OPP ROCHOR CTR,OPHIR ROAD,1202,103.8555,1.30321
8011,OPP HAW PAR GLASS TWR,CLEMENCEAU AVENUE,1203,103.84372,1.29699
8019,AFT HAW PAR GLASS TWR,CLEMENCEAU AVENUE,1204,103.84398,1.2962
8031,DHOBY GHAUT STN,PENANG ROAD,1205,103.84527,1.2983
8041,YMCA,ORCHARD ROAD,1206,103.84803,1.29811
8057,DHOBY GHAUT STN,ORCHARD ROAD,1207,103.84529,1.29931
8058,MACDONALD HSE,ORCHARD ROAD,6117,103.84647,1.29898
8069,RENDEZVOUS HOTEL S'PORE,BRAS BASAH ROAD,1208,103.84928,1.29826
8079,SCH OF THE ARTS,PRINSEP STREET,1209,103.84918,1.29921
8111,WINSLAND HSE,PENANG ROAD,1210,103.84106,1.30002
8121,SOMERSET STN,SOMERSET ROAD,1211,103.83898,1.30029
8138,CONCORDE HOTEL S'PORE,ORCHARD ROAD,1212,103.84185,1.30048
8137,ORCHARD PLAZA,ORCHARD ROAD,1213,103.84105,1.30065
9011,OPP NGEE ANN CITY,ORCHARD TURN,1215,103.83433,1.30216
9022,OPP ORCHARD STN,ORCHARD BOULEVARD,1217,103.83245,1.30256
9023,ORCHARD STN,ORCHARD TURN,1218,103.83254,1.30324
9038,MIDPOINT ORCHARD,ORCHARD ROAD,1214,103.83853,1.30149
9037,OPP MANDARIN ORCHARD,ORCHARD ROAD,1219,103.83701,1.30233
9048,LUCKY PLAZA,ORCHARD ROAD,1220,103.83391,1.30379
9047,TANG PLAZA,ORCHARD ROAD,1230,103.83294,1.30446
9059,NATL YOUTH COUNCIL,GRANGE ROAD,1216,103.83616,1.30041
9111,OPP FOUR SEASONS HOTEL,ORCHARD BOULEVARD,1221,103.82926,1.30456
9121,BEF TOMLINSON RD,ORCHARD BOULEVARD,1222,103.82705,1.30387
9131,GRANGE RESIDENCES,GRANGE ROAD,1223,103.82334,1.30392
9139,AFT CUSCADEN RD,GRANGE ROAD,1224,103.82377,1.30354
9141,BRITISH COUNCIL,NAPIER ROAD,1225,103.82178,1.30543
9149,OPP BRITISH COUNCIL,NAPIER ROAD,1226,103.82185,1.3058
9159,AFT TOMLINSON RD,TANGLIN ROAD,1227,103.82589,1.30604
9169,DELFI ORCHARD,ORCHARD ROAD,1228,103.82837,1.30675
9179,ROYAL THAI EMBASSY,ORCHARD ROAD,1229,103.83041,1.30571
9191,THE REGENT S'PORE,TOMLINSON ROAD,1231,103.82565,1.30476
9212,ROYAL PLAZA ON SCOTTS,SCOTTS ROAD,1232,103.83274,1.30691
9213,THONG TECK BLDG,SCOTTS ROAD,1233,103.83305,1.30784
9219,FAR EAST PLAZA,SCOTTS ROAD,1234,103.83313,1.30731
10009,BT MERAH INT,BUKIT MERAH CENTRAL,1235,103.81717,1.28239
10009,BT MERAH INT,BUKIT MERAH CENTRAL,1235,103.81717,1.28239
10011,OPP NEW BRIDGE RD TER,NEW BRIDGE ROAD,1237,103.8374,1.27775
10017,AFT HOSP DR,EU TONG SEN STREET,1238,103.83766,1.27823
10018,BEF OUTRAM RD,EU TONG SEN STREET,1239,103.83883,1.27883
10021,BLK 3,NEIL ROAD,1241,103.8384,1.27756
10039,BEF HOSP DR,KAMPONG BAHRU ROAD,1242,103.83644,1.27732
10041,AFT BLAIR RD,KAMPONG BAHRU ROAD,1243,103.83512,1.27609
10049,AFT JLN BT MERAH,KAMPONG BAHRU ROAD,1244,103.83473,1.27616
10051,BLK 149,JALAN BUKIT MERAH,1245,103.83214,1.27734
10059,OPP BLK 149,JALAN BUKIT MERAH,1246,103.83277,1.27734
10061,BLK 140,JALAN BUKIT MERAH,1247,103.82949,1.2786
10069,OPP BLK 140,JALAN BUKIT MERAH,1248,103.83008,1.27855
10071,BLK 111,JALAN BUKIT MERAH,1249,103.82639,1.28045
10079,BLK 201,JALAN BUKIT MERAH,1250,103.82687,1.28043
10081,OPP BLK 120,JALAN BUKIT MERAH,1251,103.82241,1.28228
10089,BLK 119,JALAN BUKIT MERAH,1254,103.82165,1.2829
10091,BT MERAH TOWN CTR,JALAN BUKIT MERAH,1255,103.81784,1.28394
10099,OPP BT MERAH TOWN CTR,JALAN BUKIT MERAH,1256,103.81755,1.28416
10101,SPRING S'PORE BLDG,JALAN BUKIT MERAH,1257,103.81374,1.28502
10109,OPP SPRING S'PORE BLDG,JALAN BUKIT MERAH,1258,103.81366,1.28531
10111,OPP BLK 28,JALAN BUKIT MERAH,1259,103.80935,1.28597
10119,OPP PACIFIC TECH CTR,JALAN BUKIT MERAH,1260,103.81123,1.28598
10121,BLK 126 CP,KIM TIAN Road,5677,103.82878,1.28265
10129,BLK 121,KIM TIAN Road,5678,103.82857,1.28232
10131,OPP BLK 2,JALAN BUKIT MERAH,1261,103.80682,1.28625
10139,BLK 1,JALAN BUKIT MERAH,1262,103.8081,1.28635
10141,BLK 18,TIONG BAHRU ROAD,1263,103.83238,1.28584
10149,BLK 1,TIONG BAHRU ROAD,1264,103.83283,1.28607
10151,CTRL GREEN CONDO,TIONG BAHRU ROAD,1265,103.82853,1.28572
10161,OPP TIONG BAHRU PLAZA,TIONG BAHRU ROAD,1266,103.82668,1.28594
10161,OPP TIONG BAHRU PLAZA,TIONG BAHRU ROAD,1266,103.82668,1.28594
10169,TIONG BAHRU PLAZA,TIONG BAHRU ROAD,1267,103.82748,1.28598
10171,HENDERSON PK,TIONG BAHRU ROAD,1268,103.82343,1.28743
10179,TIONG BAHRU PK,TIONG BAHRU ROAD,1269,103.82396,1.28722
10181,BEF AL-RABITAH MQUE,TIONG BAHRU ROAD,1270,103.82074,1.28861
10189,BLK 104A CP,TIONG BAHRU ROAD,1271,103.82175,1.28858
10191,BLK 78,TIONG BAHRU ROAD,1272,103.81901,1.28856
10199,DELTA SWIM CPLX,TIONG BAHRU ROAD,1273,103.81935,1.28886
10201,OPP REDHILL STN,TIONG BAHRU ROAD,1274,103.81658,1.28941
10209,REDHILL STN,TIONG BAHRU ROAD,1275,103.81673,1.28956
10211,PORSCHE CTR S'PORE,LENG KEE ROAD,1276,103.81144,1.29076
10219,OPP MOTOR IMAGE,LENG KEE ROAD,1277,103.81193,1.29072
10221,GANGES CTR,GANGES AVENUE,1278,103.83112,1.29039
10229,OPP HARVEST MANS,GANGES AVENUE,1279,103.83182,1.2905
10231,OPP BLK 79,GANGES AVENUE,1280,103.82788,1.29052
10239,BLK 79,GANGES AVENUE,1281,103.82882,1.28823
10241,GAN ENG SENG SEC SCH,ALEXANDRA ROAD,1282,103.82357,1.29062
